Source;Target;Type;
1;56;Undirected;
3;718;Undirected;
4;41;Undirected;
5;554;Undirected;
6;405;Undirected;
6;513;Undirected;
6;586;Undirected;
6;658;Undirected;
8;455;Undirected;
11;433;Undirected;
11;760;Undirected;
12;227;Undirected;
12;817;Undirected;
14;613;Undirected;
15;235;Undirected;
15;703;Undirected;
16;334;Undirected;
16;765;Undirected;
17;50;Undirected;
17;941;Undirected;
19;886;Undirected;
20;332;Undirected;
20;777;Undirected;
21;816;Undirected;
22;63;Undirected;
22;270;Undirected;
22;420;Undirected;
23;25;Undirected;
23;648;Undirected;
24;222;Undirected;
25;648;Undirected;
27;460;Undirected;
28;871;Undirected;
29;456;Undirected;
31;939;Undirected;
32;450;Undirected;
32;513;Undirected;
32;572;Undirected;
34;545;Undirected;
35;251;Undirected;
40;150;Undirected;
41;271;Undirected;
41;857;Undirected;
46;620;Undirected;
47;290;Undirected;
47;394;Undirected;
48;422;Undirected;
49;454;Undirected;
51;157;Undirected;
53;334;Undirected;
53;678;Undirected;
55;562;Undirected;
57;355;Undirected;
58;362;Undirected;
58;499;Undirected;
61;104;Undirected;
64;252;Undirected;
66;192;Undirected;
66;437;Undirected;
67;204;Undirected;
67;365;Undirected;
67;373;Undirected;
68;133;Undirected;
68;208;Undirected;
68;233;Undirected;
68;497;Undirected;
68;630;Undirected;
68;830;Undirected;
69;580;Undirected;
69;687;Undirected;
69;847;Undirected;
70;597;Undirected;
70;634;Undirected;
70;853;Undirected;
71;781;Undirected;
73;428;Undirected;
73;669;Undirected;
75;952;Undirected;
77;218;Undirected;
77;535;Undirected;
77;601;Undirected;
78;332;Undirected;
81;242;Undirected;
81;413;Undirected;
81;587;Undirected;
82;145;Undirected;
82;173;Undirected;
83;678;Undirected;
86;309;Undirected;
87;349;Undirected;
87;561;Undirected;
88;803;Undirected;
89;733;Undirected;
90;998;Undirected;
94;364;Undirected;
95;140;Undirected;
95;859;Undirected;
100;883;Undirected;
101;138;Undirected;
101;828;Undirected;
103;104;Undirected;
106;424;Undirected;
107;133;Undirected;
110;722;Undirected;
110;894;Undirected;
112;270;Undirected;
113;534;Undirected;
113;765;Undirected;
113;788;Undirected;
113;794;Undirected;
118;330;Undirected;
118;590;Undirected;
120;339;Undirected;
120;462;Undirected;
120;796;Undirected;
123;366;Undirected;
125;439;Undirected;
