Source;Target;Type;
1;56;Undirected;
1;459;Undirected;
6;233;Undirected;
7;59;Undirected;
10;94;Undirected;
11;450;Undirected;
12;70;Undirected;
12;143;Undirected;
12;215;Undirected;
16;55;Undirected;
21;318;Undirected;
21;387;Undirected;
22;120;Undirected;
22;447;Undirected;
23;425;Undirected;
25;64;Undirected;
25;130;Undirected;
28;414;Undirected;
29;338;Undirected;
30;80;Undirected;
31;79;Undirected;
32;226;Undirected;
33;190;Undirected;
33;458;Undirected;
35;418;Undirected;
36;390;Undirected;
38;89;Undirected;
39;476;Undirected;
40;442;Undirected;
41;112;Undirected;
41;428;Undirected;
44;75;Undirected;
44;300;Undirected;
45;52;Undirected;
45;202;Undirected;
46;330;Undirected;
47;500;Undirected;
49;147;Undirected;
52;201;Undirected;
52;414;Undirected;
55;76;Undirected;
56;178;Undirected;
59;235;Undirected;
60;351;Undirected;
61;223;Undirected;
65;394;Undirected;
66;154;Undirected;
67;200;Undirected;
67;263;Undirected;
67;322;Undirected;
72;78;Undirected;
73;322;Undirected;
82;445;Undirected;
83;391;Undirected;
84;400;Undirected;
87;193;Undirected;
87;238;Undirected;
88;412;Undirected;
99;489;Undirected;
101;313;Undirected;
101;417;Undirected;
104;206;Undirected;
106;400;Undirected;
106;478;Undirected;
110;436;Undirected;
116;189;Undirected;
117;150;Undirected;
121;403;Undirected;
126;203;Undirected;
128;407;Undirected;
129;173;Undirected;
135;393;Undirected;
140;371;Undirected;
143;468;Undirected;
144;428;Undirected;
147;245;Undirected;
149;156;Undirected;
149;318;Undirected;
149;401;Undirected;
151;402;Undirected;
152;215;Undirected;
152;223;Undirected;
154;222;Undirected;
154;297;Undirected;
154;322;Undirected;
155;241;Undirected;
155;374;Undirected;
156;230;Undirected;
156;378;Undirected;
158;226;Undirected;
158;333;Undirected;
158;493;Undirected;
160;492;Undirected;
161;190;Undirected;
161;254;Undirected;
161;409;Undirected;
164;255;Undirected;
168;423;Undirected;
169;333;Undirected;
176;178;Undirected;
179;325;Undirected;
180;322;Undirected;
180;388;Undirected;
181;435;Undirected;
182;404;Undirected;
191;257;Undirected;
191;406;Undirected;
191;428;Undirected;
192;294;Undirected;
193;463;Undirected;
193;491;Undirected;
198;393;Undirected;
206;389;Undirected;
209;466;Undirected;
210;388;Undirected;
211;498;Undirected;
214;392;Undirected;
217;381;Undirected;
221;434;Undirected;
228;292;Undirected;
229;238;Undirected;
232;427;Undirected;
235;310;Undirected;
237;257;Undirected;
238;240;Undirected;
251;319;Undirected;
255;473;Undirected;
256;383;Undirected;
259;347;Undirected;
261;411;Undirected;
263;464;Undirected;
276;479;Undirected;
279;415;Undirected;
292;474;Undirected;
292;480;Undirected;
294;482;Undirected;
295;449;Undirected;
299;344;Undirected;
301;393;Undirected;
307;371;Undirected;
308;410;Undirected;
308;433;Undirected;
308;439;Undirected;
323;358;Undirected;
330;424;Undirected;
332;347;Undirected;
341;390;Undirected;
342;355;Undirected;
344;367;Undirected;
344;376;Undirected;
359;360;Undirected;
372;442;Undirected;
376;440;Undirected;
380;485;Undirected;
380;492;Undirected;
