Source;Target;Type;
1;36;Undirected;
1;56;Undirected;
1;380;Undirected;
1;459;Undirected;
2;193;Undirected;
2;357;Undirected;
4;450;Undirected;
5;60;Undirected;
5;359;Undirected;
6;233;Undirected;
6;301;Undirected;
7;59;Undirected;
7;266;Undirected;
8;235;Undirected;
8;351;Undirected;
9;59;Undirected;
9;179;Undirected;
9;191;Undirected;
10;94;Undirected;
10;209;Undirected;
11;88;Undirected;
11;364;Undirected;
11;450;Undirected;
12;70;Undirected;
12;121;Undirected;
12;143;Undirected;
12;215;Undirected;
12;241;Undirected;
13;300;Undirected;
15;224;Undirected;
15;482;Undirected;
16;55;Undirected;
16;450;Undirected;
16;478;Undirected;
17;263;Undirected;
18;101;Undirected;
19;365;Undirected;
19;404;Undirected;
21;318;Undirected;
21;387;Undirected;
22;120;Undirected;
22;145;Undirected;
22;151;Undirected;
22;222;Undirected;
22;447;Undirected;
23;425;Undirected;
25;64;Undirected;
25;130;Undirected;
25;301;Undirected;
26;305;Undirected;
26;435;Undirected;
27;128;Undirected;
27;433;Undirected;
27;455;Undirected;
28;375;Undirected;
28;414;Undirected;
28;424;Undirected;
28;491;Undirected;
29;169;Undirected;
29;176;Undirected;
29;338;Undirected;
30;80;Undirected;
30;217;Undirected;
30;481;Undirected;
31;79;Undirected;
32;226;Undirected;
33;190;Undirected;
33;412;Undirected;
33;458;Undirected;
34;277;Undirected;
35;192;Undirected;
35;206;Undirected;
35;418;Undirected;
36;332;Undirected;
36;390;Undirected;
37;70;Undirected;
37;330;Undirected;
37;430;Undirected;
37;498;Undirected;
37;499;Undirected;
38;89;Undirected;
38;357;Undirected;
38;388;Undirected;
39;384;Undirected;
39;476;Undirected;
40;199;Undirected;
40;442;Undirected;
40;500;Undirected;
41;112;Undirected;
41;290;Undirected;
41;336;Undirected;
41;428;Undirected;
43;187;Undirected;
43;256;Undirected;
44;75;Undirected;
44;300;Undirected;
45;52;Undirected;
45;202;Undirected;
45;494;Undirected;
46;142;Undirected;
46;330;Undirected;
46;487;Undirected;
47;79;Undirected;
47;213;Undirected;
47;500;Undirected;
49;147;Undirected;
50;344;Undirected;
50;393;Undirected;
51;59;Undirected;
52;201;Undirected;
52;414;Undirected;
53;187;Undirected;
53;230;Undirected;
54;97;Undirected;
54;105;Undirected;
54;156;Undirected;
55;76;Undirected;
55;313;Undirected;
56;113;Undirected;
56;178;Undirected;
56;369;Undirected;
56;491;Undirected;
57;447;Undirected;
59;115;Undirected;
59;162;Undirected;
59;235;Undirected;
60;351;Undirected;
61;223;Undirected;
61;382;Undirected;
65;304;Undirected;
65;320;Undirected;
65;343;Undirected;
65;394;Undirected;
66;154;Undirected;
66;246;Undirected;
66;464;Undirected;
67;200;Undirected;
67;263;Undirected;
67;322;Undirected;
68;300;Undirected;
71;117;Undirected;
71;359;Undirected;
71;497;Undirected;
72;78;Undirected;
72;353;Undirected;
73;322;Undirected;
74;202;Undirected;
74;330;Undirected;
75;418;Undirected;
77;152;Undirected;
77;297;Undirected;
77;415;Undirected;
78;271;Undirected;
79;369;Undirected;
80;133;Undirected;
80;285;Undirected;
81;86;Undirected;
81;131;Undirected;
81;223;Undirected;
81;338;Undirected;
81;403;Undirected;
82;445;Undirected;
83;94;Undirected;
83;169;Undirected;
83;300;Undirected;
83;391;Undirected;
84;232;Undirected;
84;400;Undirected;
85;174;Undirected;
85;240;Undirected;
87;98;Undirected;
87;193;Undirected;
87;238;Undirected;
87;318;Undirected;
87;425;Undirected;
88;151;Undirected;
88;412;Undirected;
89;266;Undirected;
89;406;Undirected;
90;364;Undirected;
90;393;Undirected;
91;145;Undirected;
91;291;Undirected;
91;461;Undirected;
91;500;Undirected;
94;121;Undirected;
94;337;Undirected;
94;341;Undirected;
95;336;Undirected;
95;495;Undirected;
97;100;Undirected;
97;149;Undirected;
97;233;Undirected;
98;394;Undirected;
99;489;Undirected;
100;123;Undirected;
101;228;Undirected;
101;310;Undirected;
101;313;Undirected;
101;417;Undirected;
102;455;Undirected;
103;162;Undirected;
104;206;Undirected;
106;243;Undirected;
106;400;Undirected;
106;478;Undirected;
109;449;Undirected;
110;169;Undirected;
110;436;Undirected;
111;206;Undirected;
111;397;Undirected;
112;398;Undirected;
112;446;Undirected;
113;416;Undirected;
114;330;Undirected;
115;252;Undirected;
115;314;Undirected;
115;419;Undirected;
116;189;Undirected;
117;150;Undirected;
118;321;Undirected;
119;448;Undirected;
121;403;Undirected;
123;234;Undirected;
123;454;Undirected;
124;154;Undirected;
124;246;Undirected;
124;363;Undirected;
