Source;Target;Type;
1;2;Undirected;
1;3;Undirected;
1;4;Undirected;
2;3;Undirected;
2;4;Undirected;
3;4;Undirected;
5;1;Undirected;
5;2;Undirected;
5;3;Undirected;
6;5;Undirected;
6;3;Undirected;
6;5;Undirected;
7;2;Undirected;
7;3;Undirected;
7;4;Undirected;
8;2;Undirected;
8;4;Undirected;
8;6;Undirected;
9;5;Undirected;
9;5;Undirected;
9;2;Undirected;
10;6;Undirected;
10;2;Undirected;
10;8;Undirected;
11;4;Undirected;
11;8;Undirected;
11;9;Undirected;
12;4;Undirected;
12;9;Undirected;
12;4;Undirected;
13;4;Undirected;
13;10;Undirected;
13;2;Undirected;
14;1;Undirected;
14;5;Undirected;
14;2;Undirected;
15;3;Undirected;
15;8;Undirected;
15;1;Undirected;
16;2;Undirected;
16;1;Undirected;
16;9;Undirected;
17;12;Undirected;
17;8;Undirected;
17;4;Undirected;
18;3;Undirected;
18;11;Undirected;
18;1;Undirected;
19;1;Undirected;
19;5;Undirected;
19;16;Undirected;
20;19;Undirected;
20;5;Undirected;
20;5;Undirected;
21;14;Undirected;
21;2;Undirected;
21;16;Undirected;
22;5;Undirected;
22;12;Undirected;
22;1;Undirected;
23;9;Undirected;
23;16;Undirected;
23;11;Undirected;
24;9;Undirected;
24;11;Undirected;
24;8;Undirected;
25;4;Undirected;
25;19;Undirected;
25;4;Undirected;
26;2;Undirected;
26;19;Undirected;
26;4;Undirected;
27;18;Undirected;
27;1;Undirected;
27;4;Undirected;
28;3;Undirected;
28;19;Undirected;
28;8;Undirected;
29;20;Undirected;
29;25;Undirected;
29;3;Undirected;
30;4;Undirected;
30;6;Undirected;
30;9;Undirected;
31;15;Undirected;
31;2;Undirected;
31;4;Undirected;
32;1;Undirected;
32;8;Undirected;
32;5;Undirected;
33;14;Undirected;
33;26;Undirected;
33;4;Undirected;
34;2;Undirected;
34;19;Undirected;
34;5;Undirected;
35;3;Undirected;
35;4;Undirected;
35;8;Undirected;
36;24;Undirected;
36;14;Undirected;
36;17;Undirected;
37;2;Undirected;
37;2;Undirected;
37;3;Undirected;
38;2;Undirected;
38;15;Undirected;
38;4;Undirected;
39;5;Undirected;
39;13;Undirected;
39;11;Undirected;
40;5;Undirected;
40;8;Undirected;
40;4;Undirected;
41;5;Undirected;
41;8;Undirected;
41;39;Undirected;
42;1;Undirected;
42;2;Undirected;
42;33;Undirected;
43;20;Undirected;
43;37;Undirected;
43;9;Undirected;
44;1;Undirected;
44;22;Undirected;
44;6;Undirected;
45;5;Undirected;
45;40;Undirected;
45;17;Undirected;
46;12;Undirected;
46;1;Undirected;
46;16;Undirected;
47;9;Undirected;
47;3;Undirected;
47;2;Undirected;
48;4;Undirected;
48;45;Undirected;
48;3;Undirected;
49;40;Undirected;
49;13;Undirected;
49;12;Undirected;
50;6;Undirected;
50;3;Undirected;
50;29;Undirected;
51;2;Undirected;
51;19;Undirected;
51;29;Undirected;
52;26;Undirected;
52;8;Undirected;
52;30;Undirected;
53;14;Undirected;
53;31;Undirected;
53;2;Undirected;
54;22;Undirected;
54;20;Undirected;
54;1;Undirected;
55;15;Undirected;
55;6;Undirected;
55;10;Undirected;
56;6;Undirected;
56;34;Undirected;
56;37;Undirected;
57;5;Undirected;
57;19;Undirected;
57;29;Undirected;
58;2;Undirected;
58;51;Undirected;
58;3;Undirected;
59;19;Undirected;
59;28;Undirected;
59;54;Undirected;
60;3;Undirected;
60;4;Undirected;
60;11;Undirected;
61;5;Undirected;
61;1;Undirected;
